"PassengerId","Survived"
892,0
893,0
894,0
895,1
896,1
897,0
898,0
899,0
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,1
908,0
909,1
910,0
911,1
912,0
913,0
914,0
915,0
916,0
917,1
918,1
919,1
920,1
921,0
922,0
923,1
924,0
925,1
926,0
927,0
928,0
929,0
930,1
931,1
932,0
933,1
934,0
935,1
936,0
937,0
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,0
946,1
947,0
948,0
949,1
950,0
951,1
952,1
953,0
954,1
955,1
956,1
957,0
958,1
959,1
960,1
961,0
962,1
963,1
964,1
965,1
966,1
967,1
968,0
969,0
970,0
971,1
972,1
973,0
974,0
975,0
976,0
977,0
978,1
979,1
980,1
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,1
992,0
993,0
994,1
995,0
996,1
997,0
998,0
999,0
1000,1
1001,0
1002,1
1003,0
1004,0
1005,1
1006,0
1007,1
1008,0
1009,1
1010,0
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,0
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,0
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,1
1050,0
1051,0
1052,0
1053,1
1054,0
1055,1
1056,0
1057,1
1058,1
1059,1
1060,1
1061,0
1062,0
1063,1
1064,0
1065,1
1066,0
1067,1
1068,0
1069,0
1070,1
1071,0
1072,0
1073,1
1074,0
1075,0
1076,1
1077,0
1078,1
1079,0
1080,0
1081,0
1082,0
1083,1
1084,1
1085,0
1086,1
1087,0
1088,1
1089,1
1090,0
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,1
1114,1
1115,1
1116,0
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,0
1129,1
1130,1
1131,1
1132,0
1133,0
1134,0
1135,0
1136,1
1137,0
1138,1
1139,0
1140,0
1141,0
1142,1
1143,1
1144,0
1145,1
1146,1
1147,0
1148,0
1149,0
1150,1
1151,0
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,1
1159,1
1160,0
1161,1
1162,0
1163,0
1164,1
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,1
1172,0
1173,1
1174,1
1175,0
1176,1
1177,1
1178,0
1179,0
1180,0
1181,1
1182,0
1183,1
1184,0
1185,0
1186,1
1187,1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,1
1195,1
1196,1
1197,0
1198,0
1199,1
1200,1
1201,0
1202,0
1203,1
1204,1
1205,1
1206,0
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1216,0
1217,1
1218,1
1219,0
1220,0
1221,0
1222,0
1223,1
1224,0
1225,1
1226,0
1227,0
1228,0
1229,0
1230,1
1231,0
1232,0
1233,0
1234,1
1235,0
1236,0
1237,0
1238,1
1239,0
1240,0
1241,1
1242,0
1243,0
1244,1
1245,0
1246,0
1247,0
1248,0
1249,1
1250,1
1251,1
1252,0
1253,1
1254,1
1255,0
1256,0
1257,1
1258,0
1259,0
1260,0
1261,1
1262,0
1263,0
1264,1
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,1
1272,0
1273,0
1274,1
1275,0
1276,0
1277,1
1278,1
1279,0
1280,1
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,0
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,0
1297,1
1298,0
1299,1
1300,0
1301,0
1302,0
1303,1
1304,1
1305,0
1306,1
1307,0
1308,0
1309,0
